hydrogen ion	hydrogen ion (1+)	12408-02-5	H+	1	1.01
deuterium ion	deuterium ion (1+)	14464-47-2	D+	1	2.01
lithium	lithium ion (Li 1+)	17341-24-1	Li+	1	6.94
sodium	sodium ion (Na 1+)	17341-25-2	Na+	1	22.99
potassium	potassium ion (K 1+)	24203-36-9	K+	1	39.1
rubidium	rubidium ion (Rb1+)	22537-38-8	Rb+	1	85.47
cesium	cesium ion (Cs 1+)	18459-37-5	Cs+	1	132.91
copper(I)	copper ion (Cu 1+)	17493-86-6	Cu+	1	63.55
silver	silver ion (Ag 1+)	14701-21-4	Ag+	1	107.87
gold(I)	gold ion (Au 1+)	20681-14-5	Au+	1	196.97
indium(I)	indium ion (In 1+)	14864-11-0	In+	1	114.82
thallium(I)	thallium ion (Tl 1+)	22537-56-0	Tl+	1	204.38
hydronium	oxonium	13968-08-6	H3O+	1	19.02
ammonium	ammonium	14798-03-9	NH4+	1	18.04
phosphonium	phosphonium	16749-13-6	PH4+	1	35.01
methylammonium	methanamine, conjugate acid	17000-00-9	CH3NH3+	1	32.07
hydroxylaminium	hydroxylaminium	20712-83-8	HONH3+	1	34.04
hydrazinium	hydrazinium ion (1+)	18500-32-8	H2NNH3+	1	33.05
guanidinium	methylium, triamino-	25215-10-5	C(NH2)3+	1	60.08
tetramethylammonium	methanaminium, N,N,N-trimethyl	51-92-3	Me4N+	1	74.15
tetraethylammonium	ethanaminium, N,N,N-triethyl	66-40-0	Et4N+	1	130.25
tetrapropylammonium	propanaminium, N,N,N-tripropyl	13010-31-6	Pr4N+	1	186.36
tetrabutylammonium	butaneaminium, N,N,N-tributyl	10549-76-5	Bu4N+	1	242.47
butyl-tri-i-pentylammonium	butaneaminium, N,-butyl-3-methyl bis3-methylbutyl	21570-53-6	BuiPe3N+	1	284.55
tetrapentylammonium	pentanaminium, N,N,N-tripentyl	15959-61-2	Pe4N+	1	298.58
tetra-i-pentylammonium	1-butaneaminium-3-methyl-N,N,N-tris-3-methylbutyl	37841-17-1	iPe4N+	1	298.58
tetrahexylammonium	haxanaminium, N,N,N-trihexyl	20256-54-6	Hx4N+	1	354.67
tetraheptylammonium	heptanaminium, N,N,N-triheptyl	35414-25-6	Hp4N+	1	410.76
tetraphenylphosphonium	phosphonium, tetraphenyl	18198-39-5	Ph4P+	1	339.4
tetraphenylarsonium	arsonium, tetraphenyl	15912-80-8	Ph4As+	1	383.34
nitrosyl	nitrosyl ion	14452-93-8	NO+	1	30.01
nitroxyl	nitryl ion	14522-82-8	NO2+	1	46.01
antimonyl (III)	antimony (1+), oxo	22877-95-8	SbO+	1	137.75
dioxovanadyl(V)	vanadium (1+), dioxo	18252-79-4	VO2+	1	82.94
uranyl(V)	uranyl ion, (1+)	21294-41-7	UO2+	1	270.03
neptunyl(V)	neptunyl ion (1+)	21057-99-8	NpO2+	1	269
plutonyl(V)	plutonyl ion (1+)	22967-56-2	PuO2+	1	271
americyl(V)	americyl ion (1+)	22878-02-0	AmO2+	1	273
diamminesilver(I)	silver (1+), bis(ammine)-	16972-61-5	Ag(NH3)2+	1	141.93
beryllium	beryllium ion (Be 2+)	22537-20-8	Be+2	2	9.01
magnesium	magnesium ion (Mg 2+)	22537-22-0	Mg+2	2	24.31
calcium	calcium ion (Ca 2+)	14127-61-8	Ca+2	2	40.08
strontium	strontium ion (Sr 2+)	22537-39-9	Sr+2	2	87.62
barium	barium ion (Ba 2+)	22541-12-4	Ba+2	2	137.33
radium	radium ion (Ra 2+)	22541-36-2	Ra+2	2	226
vanadium(II)	vnadium ion (V 2+)	15121-26-3	V+2	2	50.94
chromium(II)	chromium ion (Cr 2+)	22541-79-3	Cr+2	2	52.01
manganese(II)	manganese ion (Mn 2+)	16397-91-4	Mn+2	2	54.94
iron(II)	iron ion (Fe 2+)	15438-31-0	Fe+2	2	55.85
cobalt(II)	cobalt ion (Co 2+)	22541-53-3	Co+2	2	58.93
nickel	nickel ion (Ni 2+)	14701-22-5	Ni+2	2	58.69
copper(II)	copper ion (Cu 2+)	15158-11-9	Cu+2	2	63.55
zinc	zinc ion (Zn 2+)	23713-49-7	Zn+2	2	65.39
palladium(II)	palladium ion (Pd 2+)	16065-88-6	Pd+2	2	106.42
silver(II)	silver ion (Ag 2+)	15046-91-0	Ag+2	2	107.87
cadmium	cadmium ion (Cd 2+)	22537-48-0	Cd+2	2	112.41
tin(II)	tin ion (Sn 2+)	22541-90-8	Sn+2	2	118.71
samarium(II)	samarium ion (Sm 2+)	16396-66-0	Sm+2	2	150.36
europium(II)	europium ion (Eu 2+)	16910-54-6	Eu+2	2	151.97
ytterbium(II)	ytterbium ion (Yb 2+)	22541-96-4	Yb+2	2	173.04
platinum(II)	platinum ion (Pt 2+)	22542-10-5	Pt+2	2	195.08
dimercury(I)	mercury ion (Hg2 2+)	12596-26-8	Hg2+2	2	401.18
mercury(II)	mercury ion (Hg 2+)	14302-87-5	Hg+2	2	200.59
lead	lead ion (Pb 2+)	14280-50-3	Pb+2	2	207.2
vanadyl(IV)	vanadyl ion (2+)	20644-97-7	VO+2	2	66.94
zirconyl	zirconyl ion (2+)	12298-97-4	ZrO+2	2	107.22
uranyl(VI)	uranyl ion (2+)	16637-16-4	UO2+2	2	270.03
neptunyl(VI)	neptunyl ion (2+)	18973-22-3	NpO2+2	2	269
plutonyl(VI)	plutonyl ion (2+)	22853-00-5	PuO2+2	2	271
americyl(VI)	americyl ion (2+)	12323-66-9	AmO2+2	2	273
tetraamminepalladium(II)	palladium (2+), tetraammine-	15974-14-8	Pd(NH3)4+2	2	174.54
tetraammineplatinum(II)	platinum (2+), tetraammine-	16455-68-8	Pt(NH3)4+2	2	263.21
hydrazinium diprotonated	hydrazinium ion (2+)	31479-14-8	N2H6+2	2	34.06
aluminium	aluminium ion (Al 3+)	22537-23-1	Al+3	3	26.98
scandium	scandium ion (Sc 3+)	22537-29-7	Sc+3	3	44.96
titanium(III)	titanium ion (Ti 3+)	22541-75-9	Ti+3	3	47.88
vanadium(III)	vanadium ion (V 3+)	22541-77-1	V+3	3	50.94
chromium(III)	chromium ion (Cr 3+)	16065-83-1	Cr+3	3	52.01
manganese(III)	manganese ion (Mn 3+)	14546-48-6	Mn+3	3	54.94
iron(III)	iron ion (Fe 3+)	20074-52-6	Fe+3	3	55.85
cobalt(III)	cobalt ion (Co 3+)	22541-63-5	Co+3	3	58.93
gallium	gallium ion (Ga 3+)	22537-33-3	Ga+3	3	69.71
yttrium	yttrium ion (Y 3+)	22537-40-2	Y+3	3	88.91
rhodium(III)	rhodium ion (Rh 3+)	16065-89-7	Rh+3	3	102.91
indium	indium ion (In 3+)	22537-49-1	In+3	3	114.82
antimony(III)	antimony ion (Sb 3+)	23713-48-6	Sb+3	3	121.76
lanthanum	lanthanum ion (La 3+)	16096-89-2	La+3	3	138.91
cerium(III)	cerium ion (Ce 3+)	18923-26-7	Ce+3	3	140.12
praseodymium	praseodymium ion (Pr 3+)	22541-14-6	Pr+3	3	140.91
neodymium	neodymium ion (Nd 3+)	14913-52-1	Nd+3	3	144.24
promethium	promethium ion (Pm 3+)	22541-16-8	Pm+3	3	147
samarium	samarium ion (Sm 3+)	22541-17-9	Sm+3	3	150.36
europium	europium ion (Eu 3+)	22541-18-0	Eu+3	3	151.97
gadolinium	gadolinium ion (Gd 3+)	22541-19-1	Gd+3	3	157.25
terbium	terbium ion (Tb 3+)	22541-20-4	Tb+3	3	158.93
dysprosium	dysprosium ion (Dy 3+)	22541-21-5	Dy+3	3	162.51
holmium	holmium ion (Ho 3+)	22541-22-6	Ho+3	3	164.93
erbium	erbium ion (Er 3+)	18472-30-5	Er+3	3	167.26
thulium	thulium ion (Tm 3+)	22541-23-7	Tm+3	3	168.93
ytterbium	ytterbium ion (Yb 3+)	18923-27-8	Yb+3	3	173.04
lutetium	lutetium ion (Lu 3+)	22541-24-8	Lu+3	3	174.97
gold(III)	gold ion (Au 3+)	16065-91-1	Au+3	3	196.97
thallium(III)	thallium ion (Tl 3+)	14627-67-9	Tl+3	3	204.38
bismuth	bismuth ion (Bi 3+)	23713-46-4	Bi+3	3	208.98
actinium	actinium ion (Ac 3+)	22541-37-3	Ac+3	3	227
uranium(III)	uranium ion (U 3+)	22578-81-0	U+3	3	238.03
neptunium(III)	neptunium ion (Np 3+)	21377-65-1	Np+3	3	237
plutonium(III)	plutonium ion (Pu 3+)	22541-70-4	Pu+3	3	239
americium(III)	americium ion (Am 3+)	22541-46-4	Am+3	3	241
curium(III)	curium ion (Cm 3+)	22541-42-0	Cm+3	3	244
berkelium(III)	berkelium ion (Bk 3+)	22541-47-5	Bk+3	3	247
californium(III)	californium ion (Cf 3+)	22541-43-1	Cf+3	3	251
hexaamminecobalt(III)	cobalt (3+), hexaammine-	14695-95-5	Co(NH3)6+3	3	161.12
zirconium	zirconium ion (Zr 4+)	15543-40-5	Zr+4	4	91.22
tin(IV)	tin ion (Sn 4+)	22537-50-4	Sn+4	4	118.71
cerium(IV)	cerium ion (Ce 4+)	16065-90-0	Ce+4	4	140.12
hafnium	hafnium ion (Hf 4+)	22541-25-9	Hf+4	4	178.49
thorium	thorium ion (Th 4+)	16065-92-2	Th+4	4	232.04
protactinium(IV)	protactinium ion (Pa 4+)	22537-59-3	Pa+4	4	231
uranium(IV)	uranium ion (U 4+)	16089-60-4	U+4	4	238.03
neptunium(IV)	neptunium ion (Np 4+)	22578-82-1	Np+4	4	237
plutonium(VI)	plutonium ion (Pu 4+)	22541-44-2	Pu+4	4	239
Nickel(1+), hydroxy- (9CI)		12125-54-1	NiOH+	1	
Lead(1+), hydroxy- (9CI)		12168-64-8	PbOH+	1	
Mercury(1+), hydroxy- (9CI)		12325-02-9	HgOH+	1	
Aluminum(1+), oxo- (9CI)		12588-30-6	AlO+	1	
Iron(1+), hydroxy- (9CI)		15092-05-4	FeOH+	1	
Thallium(1+), dihydroxy- (9CI)		15391-91-0	Ti(OH)2+	1	
Iron(1+), dihydroxy- (9CI)		16408-24-5	Fe(OH)2+	1	
Hydrazinium(1+) (8CI,9CI)		18500-32-8	H5N2+	1	
Rhenium, ion (Re1+)		20561-58-4	Re+	1	
Zinc(1+), hydroxy- (9CI)		22569-48-8	ZnOH+	1	
Titanium(1+), trihydroxy- (9CI)		23402-66-6	Ti(OH)3+	1	
Aluminum(1+), dihydroxy- (9CI)		23411-85-0	Al(OH)2+	1	
Tin(1+), hydroxy- (9CI)		27216-79-1	SnOH+	1	
Calcium(1+), hydroxy- (9CI)		36812-31-4	CaOH+	1	
Strontium(1+), hydroxy- (9CI)		36812-32-5	SrOH+	1	
Gallium(1+), dihydroxy- (9CI)		52140-06-4	Ga(OH)2+	1	
Indium(1+), dihydroxy- (9CI)		55896-88-3	In(OH)2+	1	
Polonium, ion (Po1+)		56797-55-8	Po+	1	
Magnesium(1+), hydroxy- (9CI)		60172-61-4	MgOH+	1	
Thallium(1+), hydroxy- (9CI)		61003-61-0	TlOH+	1	
Chromium(1+), dihydroxy- (9CI)		67588-88-9	Cr(OH)2+	1	
Barium(1+), hydroxy- (9CI)		68193-67-9	BaOH+	1	
Chromium(1+), hydroxy- (9CI)		68566-23-4	CrOH+	1	
Nickel(1+), trihydroxy- (9CI)		198830-58-9	Ni(OH)3+1	1	
Yttrium(1+), hydroxy- (9CI)		164265-61-6	YOH+1	1	
Lutetium(1+), fluoro- (9CI)		139941-00-7	LuF+1	1	
Scandium(1+), hydroxy- (9CI)		134627-17-1	ScOH+1	1	
Tellurium(1+), trihydroxy- (9CI)		129466-35-9	Te(OH)3+1	1	
Manganese(1+), hydroxy- (9CI)		95118-37-9	HMnO+	1	
AlOH+2	Aluminum hydroxide ion	16458-09-6	AlOH+2	2	
Scandium(2+), hydroxy- (9CI)		12135-07-8	ScOH+2	2	
Thorium(2+), dihydroxy- (9CI)		12179-05-4	Th(OH)2+2	2	
Iron(2+), hydroxy- (9CI)		12299-69-3	FeOH+2	2	
Iron(2+), dihydroxy- (9CI)		12528-83-5	Fe(OH)+2	2	
Gallium, ion (Ga2+)		14877-29-3	Ga+2	2	
Indium, ion (In2+)		14877-30-6	In+2	2	
Thallium(2+), hydroxy- (9CI)		15823-78-6	TiOH+2	2	
Chromium(2+), hydroxy- (9CI)		15906-92-0	CrOH+2	2	
Lutetium(2+), fluoro- (9CI)		18946-64-0	LuF+2	2	
Polonium, ion (Po2+)		22537-58-2	Po+2	2	
Rhenium, ion (Re2+)		22542-03-6	Re+2	2	
Manganese(2+), hydroxy- (9CI)		24228-44-2	MnOH+2	2	
Bismuth(2+), hydroxy- (9CI)		41618-72-8	BiOH+2	2	
Gallium(2+), hydroxy- (9CI)		70198-64-0	GaOH+2	2	
Lead(2+), hydroxy- (9CI)		90759-83-4	PbOH+2	2	
Zinc(2+), hydroxy- (9CI)		289651-10-1	ZnOH+2	2	
Magnesium(2+), hydroxy- (9CI)		289651-09-8	MgOH+2	2	
Iron(2+), tetrahydroxy-, (T-4)- (9CI)		189450-92-8	Fe(OH)4+2	2	
Indium(2+), hydroxy- (9CI)		186449-38-7	InOH+2	2	
Yttrium(2+), hydroxy- (9CI)		127622-32-6	YOH+2	2	
Nickel(2+), hydroxy- (9CI)		115776-74-4	NiOH+2	2	
Thorium(3+), hydroxy- (9CI)		12179-03-2	ThOH+3	3	
Rhenium, ion (Re3+)		36756-53-3	Re+3	3	
Polonium, ion (Po3+)		74143-30-9	Po+3	3	
Indium(3+), hydroxy-		1313606-05-1	InOH+3	3	
Aluminum(3+), (dihydrogen dioxide)- (9CI)		219946-99-3	AlH2O2+3	3	
Tin(3+), hydroxy- (9CI)		151462-86-1	SnOH+3	3	
Manganese(3+), hydroxy- (9CI)		119701-01-8	MnOH+3	3	
Polonium, ion (Po4+)		22541-34-0	Po+4	4	
Rhenium, ion (Re4+)		22542-02-5	Re+4	4	
Polonium, ion (Po5+)		97066-74-5	Po+5	5	
Polonium, ion (Po6+)		105715-27-3	Po+6	6	
Rhenium, ion (Re7+)		22541-28-2	Re+7	7	
